"Sp","Betacov.2021","R.Alb.2021","Rank.2021","PropRank.2021","InSample.2021","Betacov.2020","R.Alb.2020","Rank.2020","PropRank.2020","InSample.2020"
"Aethalops alecto",0,0.0467111534795043,196,0.0467111534795043,0,0,0.0495710200190658,208,0.0495710200190658,0
"Kerivoula lenis",0,0.0469494756911344,197,0.0469494756911344,0,0,0.0524308865586273,220,0.0524308865586273,0
"Cynopterus luzoniensis",0,0.0471877979027645,198,0.0471877979027645,0,0,0.0526692087702574,221,0.0526692087702574,0
"Rhinolophus sedulus",0,0.0476644423260248,200,0.0476644423260248,0,0,0.0428979980934223,180,0.0428979980934223,0
"Rousettus spinalatus",0,0.048141086749285,202,0.048141086749285,0,0,0.0411105815061964,172.5,0.0411105815061964,0
"Kerivoula whiteheadi",0,0.0483794089609152,203,0.0483794089609152,0,0,0.0533841754051478,224,0.0533841754051478,0
"Eptesicus nasutus",0,0.0488560533841754,205,0.0488560533841754,0,0,0.0455195424213537,191,0.0455195424213537,0
"Kerivoula smithii",0,0.0490943755958055,206,0.0490943755958055,0,0,0.0550524308865586,231,0.0550524308865586,0
"Megaerops wetmorei",0,0.0494518589132507,207.5,0.0494518589132507,0,0,0.0507626310772164,213,0.0507626310772164,0
"Myotis keaysi",0,0.0494518589132507,207.5,0.0494518589132507,0,0,0.0498093422306959,209,0.0498093422306959,0
"Epomophorus angolensis",0,0.0498093422306959,209,0.0498093422306959,0,0,0.046234509056244,194,0.046234509056244,0
"Rhinolophus borneensis",0,0.050047664442326,210,0.050047664442326,0,0,0.0470686367969495,197.5,0.0470686367969495,0
"Kerivoula cuprosa",0,0.0505243088655863,212,0.0505243088655863,0,0,0.0582697807435653,244.5,0.0582697807435653,0
"Laephotis wintoni",0,0.0507626310772164,213,0.0507626310772164,0,0,0.0476644423260248,200,0.0476644423260248,0
"Murina aenea",0,0.0510009532888465,214,0.0510009532888465,0,0,0.0607721639656816,255,0.0607721639656816,0
"Glauconycteris humeralis",0,0.0512392755004766,215,0.0512392755004766,0,0,0.0539799809342231,226.5,0.0539799809342231,0
"Rousettus lanosus",0,0.0514775977121068,216,0.0514775977121068,0,0,0.04802192564347,201.5,0.04802192564347,0
"Micropteropus intermedius",0,0.051835081029552,217.5,0.051835081029552,0,0,0.04802192564347,201.5,0.04802192564347,0
"Neoromicia zuluensis",0,0.051835081029552,217.5,0.051835081029552,0,0,0.0488560533841754,205,0.0488560533841754,0
"Plecotus kolombatovici",0,0.0526692087702574,221,0.0526692087702574,0,0,0.0504051477597712,211.5,0.0504051477597712,0
"Otonycteris hemprichii",0,0.0529075309818875,222,0.0529075309818875,0,0,0.0486177311725453,204,0.0486177311725453,0
"Neoromicia melckorum",0,0.0532650142993327,223.5,0.0532650142993327,0,0,0.0512392755004766,215,0.0512392755004766,0
"Myotis ater",0,0.0536224976167779,225,0.0536224976167779,0,0,0.0667302192564347,280,0.0667302192564347,0
"Myotis oxyotus",0,0.053860819828408,226,0.053860819828408,0,0,0.059580552907531,250,0.059580552907531,0
"Nyctalus aviator",0,0.0544566253574833,228.5,0.0544566253574833,0,0,0.0448045757864633,188,0.0448045757864633,0
"Artibeus jamaicensis",1,0.167063870352717,151.9,0.0544795390197315,1,0,0.155147759771211,168.8,0.100964990110667,1
"Rhinolophus swinnyi",0,0.0548141086749285,230,0.0548141086749285,0,0,0.0405147759771211,170,0.0405147759771211,0
"Rhinolophus philippinensis",0,0.0550524308865586,231,0.0550524308865586,0,0,0.0510009532888465,214,0.0510009532888465,0
"Eptesicus gobiensis",0,0.0552907530981888,232,0.0552907530981888,0,0,0.051954242135367,218,0.051954242135367,0
"Myotis macrotarsus",0,0.0555290753098189,233,0.0555290753098189,0,0,0.0644661582459485,270.5,0.0644661582459485,0
"Rhinolophus ferrumequinum",1,0.00619637750238322,32.3,0.055879770080127,1,1,0.000238322211630124,28.2,0.0564383446004819,1
"Falsistrellus mordax",0,0.0560057197330791,235,0.0560057197330791,0,0,0.0636320305052431,267,0.0636320305052431,0
"Rhinolophus celebensis",0,0.0564823641563394,237,0.0564823641563394,0,0,0.0563632030505243,236.5,0.0563632030505243,0
"Glauconycteris egeria",0,0.0567206863679695,238,0.0567206863679695,0,0,0.0676835081029552,284,0.0676835081029552,0
"Myotis scotti",0,0.0571973307912297,240,0.0571973307912297,0,0,0.0567206863679695,238,0.0567206863679695,0
"Laephotis botswanae",0,0.0574356530028599,241,0.0574356530028599,0,0,0.0536224976167779,225,0.0536224976167779,0
"Rhinolophus denti",0,0.0579122974261201,243,0.0579122974261201,0,0,0.0530266920877026,222.5,0.0530266920877026,0
"Rhogeessa io",0,0.0581506196377502,244,0.0581506196377502,0,0,0.0571973307912297,240,0.0571973307912297,0
"Eptesicus hottentotus",0,0.0583889418493804,245,0.0583889418493804,0,0,0.0586272640610105,246,0.0586272640610105,0
"Aethalops aequalis",0,0.0586272640610105,246,0.0586272640610105,0,0,0.061487130600572,258,0.061487130600572,0
"Artibeus lituratus",1,0.182793136320305,166.1,0.0587013586320651,1,1,0.189585319351764,171.4,0.0599397116312677,1
"Myotis moluccarum",0,0.0593422306959009,249,0.0593422306959009,0,0,0.0709008579599619,297.5,0.0709008579599619,0
"Rousettus bidens",0,0.0600571973307912,252,0.0600571973307912,0,0,0.0626787416587226,263,0.0626787416587226,0
"Rhinolophus robinsoni",0,0.0602955195424214,253,0.0602955195424214,0,0,0.0605338417540515,254,0.0605338417540515,0
"Neoromicia helios",0,0.0605338417540515,254,0.0605338417540515,0,0,0.0599380362249762,251.5,0.0599380362249762,0
"Rhinolophus arcuatus",0,0.0610104861773117,256,0.0610104861773117,0,0,0.0602955195424214,253,0.0602955195424214,0
"Glauconycteris alboguttata",0,0.0613679694947569,257.5,0.0613679694947569,0,0,0.0683984747378456,287,0.0683984747378456,0
"Carollia perspicillata",1,0.196377502383222,177.5,0.0617158917994589,1,1,0.2017397521449,182.4,0.0637592994008507,1
"Hesperoptenus tomesi",0,0.0618446139180172,259.5,0.0618446139180172,0,0,0.0679218303145853,285,0.0679218303145853,0
"Pipistrellus pipistrellus",1,0.00476644423260248,35.7,0.0619215091983411,1,1,0.00238322211630124,31.6,0.0591208457081767,1
"Taphozous longimanus",0,0.0622020972354623,261,0.0622020972354623,0,0,0.0617254528122021,259,0.0617254528122021,0
"Myotis elegans",0,0.0625595805529075,262.5,0.0625595805529075,0,0,0.0767397521448999,322,0.0767397521448999,0
"Myotis sicarius",0,0.0625595805529075,262.5,0.0625595805529075,0,0,0.0667302192564347,280,0.0667302192564347,0
"Rhinolophus guineensis",0,0.0629170638703527,264,0.0629170638703527,0,0,0.0638703527168732,268,0.0638703527168732,0
"Myonycteris relicta",0,0.063393708293613,266,0.063393708293613,0,0,0.0589847473784557,247.5,0.0589847473784557,0
"Scotozous dormeri",0,0.063393708293613,266,0.063393708293613,0,0,0.0620829361296473,260.5,0.0620829361296473,0
"Rousettus madagascariensis",0,0.0638703527168732,268,0.0638703527168732,0,0,0.0632745471877979,265.5,0.0632745471877979,0
"Nyctalus montanus",0,0.0641086749285033,269,0.0641086749285033,0,0,0.0589847473784557,247.5,0.0589847473784557,0
"Rhogeessa minutilla",0,0.0643469971401335,270,0.0643469971401335,0,0,0.0648236415633937,272,0.0648236415633937,0
"Hypsugo macrotis",0,0.0645853193517636,271,0.0645853193517636,0,0,0.0767397521448999,322,0.0767397521448999,0
"Pteropus griseus",0,0.0650619637750238,273,0.0650619637750238,0,0,0.0657769304099142,276,0.0657769304099142,0
"Myotis melanorhinus",0,0.065300285986654,274,0.065300285986654,0,0,0.0738798856053384,310,0.0738798856053384,0
"Acerodon jubatus",0,0.0655386081982841,275,0.0655386081982841,0,0,0.0726882745471878,305,0.0726882745471878,0
"Myotis fortidens",0,0.0662535748331745,278,0.0662535748331745,0,0,0.0714966634890372,300,0.0714966634890372,0
"Eptesicus andinus",0,0.0664918970448046,279,0.0664918970448046,0,0,0.0599380362249762,251.5,0.0599380362249762,0
"Cynopterus nusatenggara",0,0.0668493803622498,280.5,0.0668493803622498,0,0,0.0650619637750238,273,0.0650619637750238,0
"Rousettus celebensis",0,0.0668493803622498,280.5,0.0668493803622498,0,0,0.0738798856053384,310,0.0738798856053384,0
"Pteropus lombocensis",0,0.0672068636796949,282,0.0672068636796949,0,0,0.0756673021925643,317.5,0.0756673021925643,0
"Rhinolophus darlingi",0,0.0674451858913251,283,0.0674451858913251,0,0,0.0530266920877026,222.5,0.0530266920877026,0
"Ptenochirus minor",0,0.0676835081029552,284,0.0676835081029552,0,0,0.0660152526215443,277,0.0660152526215443,0
"Scotophilus nucella",0,0.0679218303145853,285,0.0679218303145853,0,0,0.0882983794089609,370.5,0.0882983794089609,0
"Chaerephon ansorgei",0,0.0686367969494757,288,0.0686367969494757,0,0,0.0712583412774071,299,0.0712583412774071,0
"Cynopterus brachyotis",1,0.00667302192564347,42.1,0.0688853026157235,1,1,0.00834127740705434,45.6,0.0729885131043555,1
"Myotis schaubi",0,0.0689942802669209,289.5,0.0689942802669209,0,0,0.0709008579599619,297.5,0.0709008579599619,0
"Harpyionycteris whiteheadi",0,0.0697092469018113,292.5,0.0697092469018113,0,0,0.0626787416587226,263,0.0626787416587226,0
"Myotis bombinus",0,0.0697092469018113,292.5,0.0697092469018113,0,0,0.0655386081982841,275,0.0655386081982841,0
"Myotis ikonnikovi",0,0.0703050524308866,295,0.0703050524308866,0,0,0.0612488083889419,257,0.0612488083889419,0
"Pteropus leucopterus",0,0.0705433746425167,296,0.0705433746425167,0,0,0.078765490943756,330.5,0.078765490943756,0
"Pipistrellus westralis",0,0.0707816968541468,297,0.0707816968541468,0,0,0.0700667302192564,294,0.0700667302192564,0
"Myotis simus",0,0.0712583412774071,299,0.0712583412774071,0,0,0.0744756911344137,312.5,0.0744756911344137,0
"Miniopterus schreibersii",1,0.0731649189704481,90.6,0.0712848986359312,1,1,0.0539799809342231,73.5,0.0666825445431191,1
"Acerodon mackloti",0,0.0719733079122974,302,0.0719733079122974,0,0,0.0751906577693041,315.5,0.0751906577693041,0
"Pteropus alecto",1,0.0838894184938036,98.6,0.072053534201375,1,1,0.101763584366063,115,0.0782110962154025,1
"Eptesicus floweri",0,0.0724499523355577,304,0.0724499523355577,0,0,0.0748331744518589,314,0.0748331744518589,0
"Murina rozendaali",0,0.0731649189704481,307,0.0731649189704481,0,0,0.0767397521448999,322,0.0767397521448999,0
"Rhogeessa tumida",0,0.0731649189704481,307,0.0731649189704481,0,0,0.0724499523355577,304,0.0724499523355577,0
"Myonycteris brachycephala",0,0.0747140133460439,313.5,0.0747140133460439,0,0,0.0694709246901811,291.5,0.0694709246901811,0
"Eptesicus chiriquinus",0,0.0747140133460439,313.5,0.0747140133460439,0,0,0.0705433746425167,296,0.0705433746425167,0
"Dobsonia crenulata",0,0.075071496663489,315,0.075071496663489,0,0,0.0847235462345091,355.5,0.0847235462345091,0
"Epomophorus gambianus",1,0.0263346043851287,60.4,0.0752822326833452,1,1,0.0375357483317445,69.1,0.0774189565850681,1
"Pteropus keyensis",0,0.0754289799809342,316.5,0.0754289799809342,0,0,0.0731649189704481,307,0.0731649189704481,0
"Bauerus dubiaquercus",0,0.0757864632983794,318,0.0757864632983794,0,0,0.0853193517635844,358,0.0853193517635844,0
"Pipistrellus papuanus",0,0.0761439466158246,319.5,0.0761439466158246,0,0,0.0780505243088656,327.5,0.0780505243088656,0
"Eonycteris robusta",0,0.0765014299332698,321,0.0765014299332698,0,0,0.0717349857006673,301,0.0717349857006673,0
"Haplonycteris fischeri",0,0.0767397521448999,322,0.0767397521448999,0,0,0.0810295519542421,340,0.0810295519542421,0
"Dobsonia peronii",0,0.0772163965681602,324,0.0772163965681602,0,0,0.0744756911344137,312.5,0.0744756911344137,0
"Thoopterus nigrescens",0,0.0772163965681602,324,0.0772163965681602,0,0,0.0840085795996187,352.5,0.0840085795996187,0
"Hipposideros cyclops",0,0.0779313632030505,327,0.0779313632030505,0,0,0.0850810295519542,357,0.0850810295519542,0
"Styloctenium wallacei",0,0.0782888465204957,328.5,0.0782888465204957,0,0,0.0792421353670162,332.5,0.0792421353670162,0
"Myotis daubentonii",1,0.0138226882745472,54.1,0.0785490802304597,1,1,0.0117969494756911,52.3,0.0790317601941392,1
"Pteropus giganteus",1,0.0221639656816015,60.1,0.0788437093382442,1,1,0.0222831267874166,61.5,0.0816923759381744,1
"Murina hilgendorfi",0,0.078884652049571,331,0.078884652049571,0,0,0.0672068636796949,282,0.0672068636796949,0
"Myotis goudoti",0,0.078884652049571,331,0.078884652049571,0,0,0.0868684461391802,364.5,0.0868684461391802,0
"Dobsonia minor",0,0.0801954242135367,336.5,0.0801954242135367,0,0,0.0824594852240229,346,0.0824594852240229,0
"Falsistrellus petersi",0,0.0801954242135367,336.5,0.0801954242135367,0,0,0.0905624404194471,380,0.0905624404194471,0
"Camelus dromedarius",1,NA,44.75,0.0804326689189002,1,1,NA,59,0.101890044496328,1
"Asellia tridens",0,0.0806720686367969,338.5,0.0806720686367969,0,0,0.0579122974261201,243,0.0579122974261201,0
"Desmodus rotundus",1,0.19161105815062,180,0.0807436316651916,1,0,0.185533841754051,207.7,0.137952518411778,1
"Tadarida aegyptiaca",0,0.0811487130600572,340.5,0.0811487130600572,0,0,0.0817445185891325,343,0.0817445185891325,0
"Eptesicus matroka",0,0.0816253574833175,342.5,0.0816253574833175,0,0,0.0760247855100095,319,0.0760247855100095,0
"Pipistrellus angulatus",0,0.0822211630123928,345,0.0822211630123928,0,0,0.114394661582459,480,0.114394661582459,0
"Pipistrellus collinus",0,0.0822211630123928,345,0.0822211630123928,0,0,0.0900857959961869,378,0.0900857959961869,0
"Rhinolophus subbadius",0,0.0822211630123928,345,0.0822211630123928,0,0,0.0632745471877979,265.5,0.0632745471877979,0
"Myotis ruber",0,0.082697807435653,347,0.082697807435653,0,0,0.0891325071496663,374,0.0891325071496663,0
"Myotis nesopolus",0,0.0829361296472831,348,0.0829361296472831,0,0,0.0913965681601525,383.5,0.0913965681601525,0
"Scotophilus celebensis",0,0.0831744518589133,349,0.0831744518589133,0,0,0.0953288846520496,400,0.0953288846520496,0
"Pteropus macrotis",0,0.0834127740705434,350,0.0834127740705434,0,0,0.107006673021926,449,0.107006673021926,0
"Pteropus mahaganus",0,0.0836510962821735,351,0.0836510962821735,0,0,0.0828169685414681,347.5,0.0828169685414681,0
"Rousettus obliviosus",0,0.0841277407054337,353,0.0841277407054337,0,0,0.0700667302192564,294,0.0700667302192564,0
"Nyctimene cephalotes",0,0.0848427073403241,356,0.0848427073403241,0,0,0.0847235462345091,355.5,0.0847235462345091,0
"Rhinolophus bocharicus",0,0.0848427073403241,356,0.0848427073403241,0,0,0.065300285986654,274,0.065300285986654,0
"Hipposideros pomona",1,0.0145376549094376,59.2,0.0848683047336689,1,0,0.0195424213536702,137.1,0.208805479069501,1
