"Sp","Betacov","R.Alb","Rank","PropRank","InSample"
"Murina hilgendorfi",0,0.078884652049571,331,0.078884652049571,0
"Myotis goudoti",0,0.078884652049571,331,0.078884652049571,0
"Dobsonia minor",0,0.0801954242135367,336.5,0.0801954242135367,0
"Falsistrellus petersi",0,0.0801954242135367,336.5,0.0801954242135367,0
"Asellia tridens",0,0.0806720686367969,338.5,0.0806720686367969,0
"Tadarida aegyptiaca",0,0.0811487130600572,340.5,0.0811487130600572,0
"Eptesicus matroka",0,0.0816253574833175,342.5,0.0816253574833175,0
"Pipistrellus angulatus",0,0.0822211630123928,345,0.0822211630123928,0
"Pipistrellus collinus",0,0.0822211630123928,345,0.0822211630123928,0
"Rhinolophus subbadius",0,0.0822211630123928,345,0.0822211630123928,0
"Myotis ruber",0,0.082697807435653,347,0.082697807435653,0
"Myotis nesopolus",0,0.0829361296472831,348,0.0829361296472831,0
"Scotophilus celebensis",0,0.0831744518589133,349,0.0831744518589133,0
"Pteropus macrotis",0,0.0834127740705434,350,0.0834127740705434,0
"Pteropus mahaganus",0,0.0836510962821735,351,0.0836510962821735,0
"Rousettus obliviosus",0,0.0841277407054337,353,0.0841277407054337,0
"Nyctimene cephalotes",0,0.0848427073403241,356,0.0848427073403241,0
"Rhinolophus bocharicus",0,0.0848427073403241,356,0.0848427073403241,0
"Harpyionycteris celebensis",0,0.0854385128693994,358.5,0.0854385128693994,0
"Hipposideros grandis",0,0.0854385128693994,358.5,0.0854385128693994,0
"Dobsonia exoleta",0,0.0861534795042898,361.5,0.0861534795042898,0
"Kerivoula flora",0,0.0861534795042898,361.5,0.0861534795042898,0
"Otopteropus cartilagonodus",0,0.0861534795042898,361.5,0.0861534795042898,0
"Myotis auriculus",0,0.0867492850333651,364,0.0867492850333651,0
"Rhogeessa parvula",0,0.0869876072449952,365,0.0869876072449952,0
"Cistugo seabrae",0,0.0872259294566254,366,0.0872259294566254,0
"Pteropus woodfordi",0,0.0880600571973308,369.5,0.0880600571973308,0
"Scotoecus pallidus",0,0.088417540514776,371,0.088417540514776,0
"Corynorhinus mexicanus",0,0.0886558627264061,372,0.0886558627264061,0
"Pipistrellus adamsi",0,0.0888941849380362,373,0.0888941849380362,0
"Myotis hajastanicus",0,0.0892516682554814,374.5,0.0892516682554814,0
"Pteropus rayneri",0,0.0892516682554814,374.5,0.0892516682554814,0
"Pteropus pumilus",0,0.0897283126787417,376.5,0.0897283126787417,0
"Pteropus speciosus",0,0.0897283126787417,376.5,0.0897283126787417,0
"Nyctophilus geoffroyi",0,0.0900857959961869,378,0.0900857959961869,0
"Myotis dominicensis",0,0.090443279313632,379.5,0.090443279313632,0
"Myotis hermani",0,0.0909199237368923,381.5,0.0909199237368923,0
"Rhinolophus virgo",0,0.0909199237368923,381.5,0.0909199237368923,0
"Myotis bucharensis",0,0.0917540514775977,385,0.0917540514775977,0
"Myotis occultus",0,0.0917540514775977,385,0.0917540514775977,0
"Pteropus samoensis",0,0.0917540514775977,385,0.0917540514775977,0
"Hipposideros doriae",0,0.092349857006673,387.5,0.092349857006673,0
"Rhinolophus deckenii",0,0.092349857006673,387.5,0.092349857006673,0
"Pteropus personatus",0,0.0931839847473785,391,0.0931839847473785,0
"Pteropus ocularis",0,0.0934223069590086,392,0.0934223069590086,0
"Acerodon leucotis",0,0.0936606291706387,393,0.0936606291706387,0
"Scotorepens sanborni",0,0.094137273593899,395,0.094137273593899,0
"Hipposideros dyacorum",0,0.0943755958055291,396,0.0943755958055291,0
"Laephotis angolensis",0,0.0948522402287893,398,0.0948522402287893,0
"Pteropus pohlei",0,0.0948522402287893,398,0.0948522402287893,0
"Rhinolophus subrufus",0,0.0948522402287893,398,0.0948522402287893,0
"Rhinolophus inops",0,0.0954480457578646,400.5,0.0954480457578646,0
"Nycteris tragata",0,0.0958055290753098,402,0.0958055290753098,0
"Pteropus dasymallus",0,0.0960438512869399,403,0.0960438512869399,0
"Pteropus tuberculatus",0,0.0965204957102002,405,0.0965204957102002,0
"Chalinolobus nigrogriseus",0,0.0965204957102002,405,0.0965204957102002,0
"Vespadelus troughtoni",0,0.0965204957102002,405,0.0965204957102002,0
"Dobsonia pannietensis",0,0.0971163012392755,407.5,0.0971163012392755,0
"Rhinolophus beddomei",0,0.0971163012392755,407.5,0.0971163012392755,0
"Murina florium",0,0.0975929456625357,409.5,0.0975929456625357,0
"Pteropus melanotus",0,0.0975929456625357,409.5,0.0975929456625357,0
"Chaerephon aloysiisabaudiae",0,0.0981887511916111,412,0.0981887511916111,0
"Pteropus rennelli",0,0.0981887511916111,412,0.0981887511916111,0
"Rhinolophus euryotis",0,0.0981887511916111,412,0.0981887511916111,0
"Eudiscopus denticulus",0,0.0986653956148713,414,0.0986653956148713,0
"Idionycteris phyllotis",0,0.0989037178265014,415,0.0989037178265014,0
"Pteropus seychellensis",0,0.0991420400381316,416,0.0991420400381316,0
"Hipposideros ridleyi",0,0.0996186844613918,418,0.0996186844613918,0
"Hypsugo kitcheneri",0,0.0996186844613918,418,0.0996186844613918,0
"Lasiurus minor",0,0.0996186844613918,418,0.0996186844613918,0
"Myotis ciliolabrum",0,0.100214489990467,420.5,0.100214489990467,0
"Myotis pruinosus",0,0.100214489990467,420.5,0.100214489990467,0
"Rhogeessa aeneus",0,0.100571973307912,422,0.100571973307912,0
"Hipposideros beatus",0,0.100929456625357,423.5,0.100929456625357,0
"Pteropus caniceps",0,0.100929456625357,423.5,0.100929456625357,0
"Kerivoula muscina",0,0.101286939942803,425,0.101286939942803,0
"Nycteris hispida",0,0.101644423260248,426.5,0.101644423260248,0
"Pteropus niger",0,0.101644423260248,426.5,0.101644423260248,0
"Myotis insularum",0,0.102359389895138,429.5,0.102359389895138,0
"Otomops martiensseni",0,0.102359389895138,429.5,0.102359389895138,0
"Scoteanax rueppellii",0,0.102359389895138,429.5,0.102359389895138,0
"Chaerephon nigeriae",0,0.102955195424214,432,0.102955195424214,0
"Paranyctimene raptor",0,0.103193517635844,433,0.103193517635844,0
"Rhogeessa alleni",0,0.103431839847474,434,0.103431839847474,0
"Myotis australis",0,0.103908484270734,436,0.103908484270734,0
"Myotis stalkeri",0,0.103908484270734,436,0.103908484270734,0
"Scotophilus robustus",0,0.103908484270734,436,0.103908484270734,0
"Rhogeessa gracilis",0,0.104385128693994,438,0.104385128693994,0
"Pteropus gilliardorum",0,0.104623450905624,439,0.104623450905624,0
"Pteropus chrysoproctus",0,0.10498093422307,440.5,0.10498093422307,0
"Myotis aelleni",0,0.105338417540515,442,0.105338417540515,0
"Pteropus loochoensis",0,0.105576739752145,443,0.105576739752145,0
"Dobsonia emersa",0,0.105815061963775,444,0.105815061963775,0
"Myotis oreias",0,0.106053384175405,445,0.106053384175405,0
"Histiotus laephotis",0,0.106291706387035,446,0.106291706387035,0
"Vespadelus caurinus",0,0.106887511916111,448.5,0.106887511916111,0
"Arielulus societatis",0,0.106887511916111,448.5,0.106887511916111,0
"Neopteryx frosti",0,0.106887511916111,448.5,0.106887511916111,0
"Pipistrellus wattsi",0,0.106887511916111,448.5,0.106887511916111,0
"Nyctophilus bifax",0,0.107483317445186,451,0.107483317445186,0
"Nyctimene albiventer",0,0.107721639656816,452,0.107721639656816,0
"Pteropus melanopogon",0,0.107959961868446,453,0.107959961868446,0
"Nyctimene aello",0,0.108198284080076,454,0.108198284080076,0
"Dobsonia viridis",0,0.108555767397521,455.5,0.108555767397521,0
"Mops mops",0,0.108555767397521,455.5,0.108555767397521,0
"Eptesicus innoxius",0,0.109032411820782,457.5,0.109032411820782,0
"Melonycteris melanops",0,0.109032411820782,457.5,0.109032411820782,0
"Scotorepens greyii",0,0.109389895138227,459,0.109389895138227,0
"Histiotus macrotus",0,0.109866539561487,461,0.109866539561487,0
"Nyctophilus microtis",0,0.109866539561487,461,0.109866539561487,0
"Pteropus insularis",0,0.109866539561487,461,0.109866539561487,0
"Lasiurus castaneus",0,0.110462345090562,463.5,0.110462345090562,0
"Chalinolobus picatus",0,0.111415633937083,467.5,0.111415633937083,0
"Cistugo lesueuri",0,0.111415633937083,467.5,0.111415633937083,0
"Lasiurus insularis",0,0.111415633937083,467.5,0.111415633937083,0
"Murina ussuriensis",0,0.111415633937083,467.5,0.111415633937083,0
"Nyctimene major",0,0.111415633937083,467.5,0.111415633937083,0
"Dobsonia beauforti",0,0.112607244995234,472.5,0.112607244995234,0
"Myotis sodalis",0,0.112607244995234,472.5,0.112607244995234,0
"Nyctimene rabori",0,0.112607244995234,472.5,0.112607244995234,0
"Mops nanulus",0,0.113322211630124,475.5,0.113322211630124,0
"Pteropus vetulus",0,0.113322211630124,475.5,0.113322211630124,0
"Scotorepens orion",0,0.113679694947569,477,0.113679694947569,0
"Nyctimene certans",0,0.114513822688275,480.5,0.114513822688275,0
"Nyctimene draconilla",0,0.114513822688275,480.5,0.114513822688275,0
"Pteropus mariannus",0,0.114513822688275,480.5,0.114513822688275,0
"Pteropus pelewensis",0,0.114513822688275,480.5,0.114513822688275,0
"Rhinolophus silvestris",0,0.114513822688275,480.5,0.114513822688275,0
"Murina puta",0,0.115467111534795,484.5,0.115467111534795,0
"Pteropus aruensis",0,0.115943755958055,486.5,0.115943755958055,0
"Rhogeessa mira",0,0.1163012392755,488,0.1163012392755,0
"Pteropus tonganus",0,0.116658722592946,489.5,0.116658722592946,0
"Pteralopex atrata",0,0.117016205910391,491,0.117016205910391,0
"Latidens salimalii",0,0.117492850333651,493,0.117492850333651,0
"Myotis planiceps",0,0.117492850333651,493,0.117492850333651,0
"Myotis martiniquensis",0,0.118088655862726,495.5,0.118088655862726,0
"Dobsonia inermis",0,0.118684461391802,498,0.118684461391802,0
"Pteropus anetianus",0,0.119161105815062,500,0.119161105815062,0
"Tadarida latouchei",0,0.119161105815062,500,0.119161105815062,0
"Vespadelus vulturnus",0,0.119161105815062,500,0.119161105815062,0
"Myotis vivesi",0,0.119637750238322,502,0.119637750238322,0
"Nyctophilus timoriensis",0,0.120114394661582,504,0.120114394661582,0
"Pteropus ornatus",0,0.120114394661582,504,0.120114394661582,0
"Rhinopoma microphyllum",0,0.120591039084843,506,0.120591039084843,0
"Cheiromeles torquatus",0,0.121067683508103,508,0.121067683508103,0
"Pipistrellus maderensis",0,0.121067683508103,508,0.121067683508103,0
"Pteropus temminckii",0,0.121067683508103,508,0.121067683508103,0
"Vespadelus finlaysoni",0,0.121663489037178,510.5,0.121663489037178,0
"Eptesicus bobrinskoi",0,0.122378455672069,513.5,0.122378455672069,0
"Pipistrellus endoi",0,0.122378455672069,513.5,0.122378455672069,0
"Syconycteris hobbit",0,0.122378455672069,513.5,0.122378455672069,0
"Mops demonstrator",0,0.122974261201144,516,0.122974261201144,0
"Hypsugo vordermanni",0,0.123212583412774,517,0.123212583412774,0
"Nycticeius cubanus",0,0.123570066730219,518.5,0.123570066730219,0
"Notopteris neocaledonica",0,0.124404194470925,522,0.124404194470925,0
"Dobsonia praedatrix",0,0.124404194470925,522,0.124404194470925,0
"Nyctimene minutus",0,0.124404194470925,522,0.124404194470925,0
"Nycteris grandis",0,0.125,524.5,0.125,0
"Lasiurus salinae",0,0.12547664442326,526.5,0.12547664442326,0
"Mops thersites",0,0.12547664442326,526.5,0.12547664442326,0
"Nyctimene masalai",0,0.125834127740705,528,0.125834127740705,0
"Kerivoula agnella",0,0.126429933269781,530.5,0.126429933269781,0
"Plecotus taivanus",0,0.126429933269781,530.5,0.126429933269781,0
"Lasiurus pfeifferi",0,0.126787416587226,532,0.126787416587226,0
"Chaerephon chapini",0,0.127144899904671,533.5,0.127144899904671,0
"Chaerephon major",0,0.127144899904671,533.5,0.127144899904671,0
"Chaerephon bemmeleni",0,0.127621544327931,535.5,0.127621544327931,0
"Nyctophilus arnhemensis",0,0.127621544327931,535.5,0.127621544327931,0
"Myotis findleyi",0,0.127979027645377,537,0.127979027645377,0
"Nyctophilus gouldi",0,0.128336510962822,538.5,0.128336510962822,0
"Rhinolophus hillorum",0,0.128336510962822,538.5,0.128336510962822,0
"Arielulus cuprosus",0,0.128932316491897,541,0.128932316491897,0
"Melonycteris woodfordi",0,0.128932316491897,541,0.128932316491897,0
"Syconycteris carolinae",0,0.128932316491897,541,0.128932316491897,0
"Nyctalus furvus",0,0.129408960915157,543,0.129408960915157,0
"Murina tenebrosa",0,0.130123927550048,546,0.130123927550048,0
"Falsistrellus tasmaniensis",0,0.130719733079123,548.5,0.130719733079123,0
"Plecotus teneriffae",0,0.130719733079123,548.5,0.130719733079123,0
"Hesperoptenus doriae",0,0.131077216396568,550,0.131077216396568,0
"Kerivoula myrella",0,0.131315538608198,551,0.131315538608198,0
"Mops brachypterus",0,0.131792183031459,553,0.131792183031459,0
"Myotis atacamensis",0,0.131792183031459,553,0.131792183031459,0
"Pteropus cognatus",0,0.131792183031459,553,0.131792183031459,0
"Alionycteris paucidentata",0,0.132268827454719,555,0.132268827454719,0
"Myotis peninsularis",0,0.132507149666349,556,0.132507149666349,0
"Emballonura monticola",0,0.132983794089609,558,0.132983794089609,0
"Hipposideros jonesi",0,0.132983794089609,558,0.132983794089609,0
"Eptesicus japonensis",0,0.133579599618684,560.5,0.133579599618684,0
"Neoromicia flavescens",0,0.13393708293613,562,0.13393708293613,0
"Nyctophilus walkeri",0,0.13417540514776,563,0.13417540514776,0
"Chalinolobus neocaledonicus",0,0.13465204957102,565,0.13465204957102,0
"Eptesicus dimissus",0,0.13465204957102,565,0.13465204957102,0
"Lavia frons",0,0.13465204957102,565,0.13465204957102,0
"Phoniscus papuensis",0,0.13536701620591,568,0.13536701620591,0
"Hypsugo joffrei",0,0.135724499523356,569.5,0.135724499523356,0
"Tadarida ventralis",0,0.135724499523356,569.5,0.135724499523356,0
"Hipposideros fulvus",0,0.136201143946616,571.5,0.136201143946616,0
"Nycteris arge",0,0.136201143946616,571.5,0.136201143946616,0
"Eptesicus tatei",0,0.136677788369876,573.5,0.136677788369876,0
"Rhinolophus rufus",0,0.136677788369876,573.5,0.136677788369876,0
"Notopteris macdonaldi",0,0.137273593898951,576,0.137273593898951,0
"Taphozous mauritianus",0,0.137273593898951,576,0.137273593898951,0
